type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,200.1.67.0/24,0,vienna,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,ljubjana,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peermarseille_13,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peermarseille_13,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,strasbourg,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,milan,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,lyon,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,stockholm,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,roma,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,london,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,lisbon,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,frankfurt,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,brussels,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peeristanbul_10,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peeristanbul_10,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerbasel_2,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbasel_2,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peergeneva_8,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peergeneva_8,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,paris,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,zurich,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,budapest,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,marseille,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peerstrasbourg_15,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerstrasbourg_15,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,bratislava,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,basel,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,madrid,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,athens,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,praha,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peerbrussels_6,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbrussels_6,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerbrussels_5,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbrussels_5,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerbrussels_4,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbrussels_4,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,dublin,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerkiev_11,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerkiev_11,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerbasel_3,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbasel_3,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,geneva,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,bucharest,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peergeneva_9,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peergeneva_9,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,rotterdam,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peerbarcelona_1,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerbarcelona_1,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,zagreb,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,sofia,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,vaduz,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peermarseille_12,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peermarseille_12,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peermilan_14,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peermilan_14,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,luxembourg,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,barcelona,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,amsterdam,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,istanbul,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,kiev,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.67.0/24,0,peeramsterdam_0,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peeramsterdam_0,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.67.0/24,0,peerfrankfurt_7,{warsaw:GigabitEthernet0/0 (200.1.67.0/24)},{9},peerfrankfurt_7,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,vienna,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,ljubjana,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peermarseille_13,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peermarseille_13,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,milan,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,strasbourg,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,lyon,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,stockholm,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,roma,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,warsaw,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,london,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,lisbon,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,frankfurt,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,brussels,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peeristanbul_10,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peeristanbul_10,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerbasel_2,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbasel_2,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peergeneva_8,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peergeneva_8,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,paris,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,budapest,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,marseille,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peerstrasbourg_15,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerstrasbourg_15,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,bratislava,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,basel,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,madrid,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},madrid,PolicyStatus.HOLDS
