type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Isolation,20.0.0.251/32,0,isp2,PolicyStatus.HOLDSNOT,{9},{er1:Loopback0 (20.0.0.251/32)},isp2
PolicyType.Isolation,20.0.0.251/32,0,isp4,PolicyStatus.HOLDSNOT,{9},{er1:Loopback0 (20.0.0.251/32)},isp4
PolicyType.Isolation,20.0.0.251/32,0,isp3,PolicyStatus.HOLDSNOT,{9},{er1:Loopback0 (20.0.0.251/32)},isp3
PolicyType.Isolation,32.60.12.0/24,0,c2,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},c2
PolicyType.Isolation,32.60.12.0/24,0,isp4,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},isp4
PolicyType.Isolation,32.60.12.0/24,0,r1,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},r1
PolicyType.Isolation,32.60.12.0/24,0,c1,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},c1
PolicyType.Isolation,32.60.12.0/24,0,isp1,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},isp1
PolicyType.Isolation,32.60.12.0/24,0,er2,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},er2
PolicyType.Isolation,32.60.12.0/24,0,er1,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},er1
PolicyType.Isolation,32.60.12.0/24,0,r2,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},r2
PolicyType.Isolation,32.60.12.0/24,0,isp3,PolicyStatus.HOLDSNOT,{9},{isp2:GigabitEthernet140/0 (32.60.12.0/24)},isp3
PolicyType.Isolation,32.47.231.0/24,0,c2,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},c2
PolicyType.Isolation,32.47.231.0/24,0,r1,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},r1
PolicyType.Isolation,32.47.231.0/24,0,c1,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},c1
PolicyType.Isolation,32.47.231.0/24,0,isp1,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},isp1
PolicyType.Isolation,32.47.231.0/24,0,er2,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},er2
PolicyType.Isolation,32.47.231.0/24,0,er1,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},er1
PolicyType.Isolation,32.47.231.0/24,0,r2,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},r2
PolicyType.Isolation,32.47.231.0/24,0,isp3,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},isp3
PolicyType.Isolation,32.47.231.0/24,0,isp2,PolicyStatus.HOLDSNOT,{9},{isp4:GigabitEthernet140/0 (32.47.231.0/24)},isp2
