type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Waypoint,1.1.1.1/32,as1border1,as1border2,PolicyStatus.HOLDS,{9},{as1border1:Loopback0 (1.1.1.1/32)},as1border2
PolicyType.Waypoint,1.1.1.1/32,as1border2,as1border2,PolicyStatus.HOLDS,{9},{as1border1:Loopback0 (1.1.1.1/32)},as1border2
PolicyType.Waypoint,32.134.140.0/24,as3border2,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet60/0 (32.134.140.0/24)},as3core1
PolicyType.Waypoint,32.134.140.0/24,as3border2,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet60/0 (32.134.140.0/24)},as3border1
PolicyType.Waypoint,32.134.140.0/24,as3core1,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet60/0 (32.134.140.0/24)},as3core1
PolicyType.Waypoint,32.134.140.0/24,as3core1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet60/0 (32.134.140.0/24)},as3border1
PolicyType.Waypoint,32.129.232.0/24,as1core1,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet100/0 (32.129.232.0/24)},as1core1
PolicyType.Waypoint,32.129.232.0/24,as1core1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet100/0 (32.129.232.0/24)},as1border1
PolicyType.Waypoint,32.129.232.0/24,as1border1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet100/0 (32.129.232.0/24)},as1border1
PolicyType.Waypoint,32.129.232.0/24,as1border2,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet100/0 (32.129.232.0/24)},as1core1
PolicyType.Waypoint,32.129.232.0/24,as1border2,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet100/0 (32.129.232.0/24)},as1border1
PolicyType.Waypoint,32.128.234.0/24,as3border1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet110/0 (32.128.234.0/24)},as3border1
PolicyType.Waypoint,32.128.234.0/24,as3border2,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet110/0 (32.128.234.0/24)},as3core1
PolicyType.Waypoint,32.128.234.0/24,as3border2,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet110/0 (32.128.234.0/24)},as3border1
PolicyType.Waypoint,32.128.234.0/24,as3core1,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet110/0 (32.128.234.0/24)},as3core1
PolicyType.Waypoint,32.128.234.0/24,as3core1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet110/0 (32.128.234.0/24)},as3border1
PolicyType.Waypoint,32.91.43.0/24,as3border1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet100/0 (32.91.43.0/24)},as3border1
PolicyType.Waypoint,32.91.43.0/24,as3border2,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet100/0 (32.91.43.0/24)},as3core1
PolicyType.Waypoint,32.91.43.0/24,as3border2,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet100/0 (32.91.43.0/24)},as3border1
PolicyType.Waypoint,32.91.43.0/24,as3core1,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet100/0 (32.91.43.0/24)},as3core1
PolicyType.Waypoint,32.91.43.0/24,as3core1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet100/0 (32.91.43.0/24)},as3border1
PolicyType.Waypoint,32.57.210.0/24,as3border1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet80/0 (32.57.210.0/24)},as3border1
PolicyType.Waypoint,32.57.210.0/24,as3border2,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet80/0 (32.57.210.0/24)},as3core1
PolicyType.Waypoint,32.57.210.0/24,as3border2,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet80/0 (32.57.210.0/24)},as3border1
PolicyType.Waypoint,32.57.210.0/24,as3core1,as3core1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet80/0 (32.57.210.0/24)},as3core1
PolicyType.Waypoint,32.57.210.0/24,as3core1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet80/0 (32.57.210.0/24)},as3border1
PolicyType.Waypoint,32.44.27.0/24,as1core1,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet120/0 (32.44.27.0/24)},as1core1
PolicyType.Waypoint,32.44.27.0/24,as1core1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet120/0 (32.44.27.0/24)},as1border1
PolicyType.Waypoint,32.44.27.0/24,as1border1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet120/0 (32.44.27.0/24)},as1border1
PolicyType.Waypoint,32.44.27.0/24,as1border2,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet120/0 (32.44.27.0/24)},as1core1
PolicyType.Waypoint,32.44.27.0/24,as1border2,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet120/0 (32.44.27.0/24)},as1border1
PolicyType.Waypoint,32.42.211.0/24,as1core1,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet110/0 (32.42.211.0/24)},as1core1
PolicyType.Waypoint,32.42.211.0/24,as1core1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet110/0 (32.42.211.0/24)},as1border1
PolicyType.Waypoint,32.42.211.0/24,as1border1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet110/0 (32.42.211.0/24)},as1border1
PolicyType.Waypoint,32.42.211.0/24,as1border2,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet110/0 (32.42.211.0/24)},as1core1
PolicyType.Waypoint,32.42.211.0/24,as1border2,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet110/0 (32.42.211.0/24)},as1border1
PolicyType.Waypoint,32.27.218.0/24,as1core1,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.27.218.0/24)},as1core1
PolicyType.Waypoint,32.27.218.0/24,as1core1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.27.218.0/24)},as1border1
PolicyType.Waypoint,32.27.218.0/24,as1border1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.27.218.0/24)},as1border1
PolicyType.Waypoint,32.27.218.0/24,as1border2,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.27.218.0/24)},as1core1
PolicyType.Waypoint,32.27.218.0/24,as1border2,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.27.218.0/24)},as1border1
PolicyType.Waypoint,32.3.158.0/24,as3border1,as3border1,PolicyStatus.HOLDS,{9},{as3border2:GigabitEthernet70/0 (32.3.158.0/24)},as3border1
PolicyType.Waypoint,2.128.15.0/24,as1border1,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet5/0 (2.128.15.0/24)},as1border1
PolicyType.Waypoint,2.128.15.0/24,as1border2,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet5/0 (2.128.15.0/24)},as1core1
