type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Reachability,32.253.37.0/24,0,as1core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as1core1
PolicyType.Reachability,32.253.37.0/24,0,as1border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as1border1
PolicyType.Isolation,32.253.37.0/24,0,as2dist1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2dist1
PolicyType.Isolation,32.253.37.0/24,0,as2core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2core1
PolicyType.Isolation,32.253.37.0/24,0,as3border2,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as3border2
PolicyType.Isolation,32.253.37.0/24,0,as3border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as3border1
PolicyType.Isolation,32.253.37.0/24,0,as2core2,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2core2
PolicyType.Isolation,32.253.37.0/24,0,as2dept1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2dept1
PolicyType.Isolation,32.253.37.0/24,0,as2border1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2border1
PolicyType.Isolation,32.253.37.0/24,0,as2dist2,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2dist2
PolicyType.Isolation,32.253.37.0/24,0,as3core1,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as3core1
PolicyType.Isolation,32.253.37.0/24,0,as2border2,PolicyStatus.HOLDS,{9},{as1border2:GigabitEthernet90/0 (32.253.37.0/24)},as2border2
PolicyType.Isolation,32.238.200.0/24,0,as1border2,PolicyStatus.HOLDS,{9},{as2dept1:GigabitEthernet100/0 (32.238.200.0/24)},as1border2
