PolicyType.LoadBalancingSimple,100.0.16.0/24,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.LoadBalancingSimple,100.0.16.0/24,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.LoadBalancingSimple,100.0.16.0/24,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},paris
PolicyType.LoadBalancingSimple,100.0.16.0/24,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},madrid
PolicyType.LoadBalancingSimple,100.0.17.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.17.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.18.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet0/0 (100.0.18.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.25.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.29.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.29.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.30.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.30.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.6.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.6.0/24,3,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.9.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.9.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},vaduz
PolicyType.LoadBalancingSimple,91.1.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.1.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.1.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.1.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},vaduz
