type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Waypoint,30.3.1.4/30,agg1-1,agg1-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},agg1-1
PolicyType.Waypoint,30.3.1.4/30,e0-1,e0-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e0-1
PolicyType.Waypoint,30.3.1.4/30,e1-0,e1-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e1-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,e0-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e0-1
PolicyType.Waypoint,30.3.1.4/30,e3-1,e2-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e2-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,e2-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e2-1
PolicyType.Waypoint,30.3.1.4/30,e3-1,e3-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e3-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,agg3-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},agg3-1
PolicyType.Waypoint,30.3.1.4/30,e3-1,e1-1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e1-1
PolicyType.Waypoint,30.3.1.4/30,e3-1,e0-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e0-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,agg3-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},agg3-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,e1-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},e1-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,agg1-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},agg1-0
PolicyType.Waypoint,30.3.1.4/30,e3-1,c1,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},c1
PolicyType.Waypoint,30.3.1.4/30,e3-1,c0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},c0
PolicyType.Waypoint,30.3.1.4/30,e3-1,agg0-0,PolicyStatus.HOLDS,{9},{e3-1:GigabitEthernet0/4 (30.3.1.4/30)},agg0-0
