type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Waypoint,32.251.178.0/24,agg6-2,c10,PolicyStatus.HOLDSNOT,{9},{e6-0:GigabitEthernet90/0 (32.251.178.0/24)},c10
PolicyType.Waypoint,32.251.178.0/24,e6-0,c10,PolicyStatus.HOLDSNOT,{9},{e6-0:GigabitEthernet90/0 (32.251.178.0/24)},c10
PolicyType.Waypoint,32.251.178.0/24,c10,c10,PolicyStatus.HOLDSNOT,{9},{e6-0:GigabitEthernet90/0 (32.251.178.0/24)},c10
PolicyType.Waypoint,32.203.178.0/24,agg6-1,c4,PolicyStatus.HOLDSNOT,{9},{e6-1:GigabitEthernet90/0 (32.203.178.0/24)},c4
PolicyType.Waypoint,32.203.178.0/24,e6-1,c4,PolicyStatus.HOLDSNOT,{9},{e6-1:GigabitEthernet90/0 (32.203.178.0/24)},c4
PolicyType.Waypoint,32.203.178.0/24,c4,c4,PolicyStatus.HOLDSNOT,{9},{e6-1:GigabitEthernet90/0 (32.203.178.0/24)},c4
PolicyType.Waypoint,32.160.44.0/24,c13,c13,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},c13
PolicyType.Waypoint,32.160.44.0/24,agg2-3,agg2-3,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},agg2-3
PolicyType.Waypoint,32.160.44.0/24,c14,c14,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},c14
PolicyType.Waypoint,32.160.44.0/24,agg4-3,agg4-3,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},agg4-3
PolicyType.Waypoint,32.160.44.0/24,c12,c12,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},c12
PolicyType.Waypoint,32.160.44.0/24,e7-0,agg7-3,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},agg7-3
PolicyType.Waypoint,32.160.44.0/24,e7-0,c7,PolicyStatus.HOLDSNOT,{9},{e7-0:GigabitEthernet90/0 (32.160.44.0/24)},c7
